,movieId,title,genres,year,abstract
8000,97188,Sinister,"Horror, Thriller",2012,"Sinister is a 2012 American supernatural horror film directed by Scott Derrickson and written by Derrickson and C. Robert Cargill. It stars Ethan Hawke as fictional true-crime writer Ellison Oswalt who discovers a box of home movies in his attic that puts his family in danger. The film, a co-production between the United States, Canada, and the United Kingdom, premiered at the SXSW festival, and was released in the United States on October 12, 2012, and in the UK on October 5, 2012. A sequel, Sinister 2, was released in the United States on August 21, 2015."
8001,97194,"Thing: Terror Takes Shape, The",Documentary,1998,Movie not found on DBpedia by query title.
8002,97225,Hotel Transylvania,"Animation, Children, Comedy",2012,Movie not found on DBpedia by query title.
8003,97230,Side by Side,Documentary,2012,Movie not found on DBpedia by query title.
8004,97285,Take Aim at the Police Van (Sono gosôsha wo nerae: 'Jûsangô taihisen' yori),"Action, Crime, Mystery",1960,Movie not found on DBpedia by query title.
8005,97304,Argo,"Drama, Thriller",2012,"Argo is a 2006 short romance drama film that marks Jordan Bayne's short film writing and directorial debut. Co-written and co-directed by Bayne and Michael Knowles, the film was shot on location in Joshua Tree, California, in 2005."
8006,97306,Seven Psychopaths,"Comedy, Crime",2012,Movie not found on DBpedia by query title.
8007,97328,Liberal Arts,"Comedy, Drama",2012,Movie not found on DBpedia by query title.
8008,97470,Catch .44,"Action, Drama, Thriller",2011,Movie not found on DBpedia by query title.
8009,97643,[REC]³ 3 Génesis,"Horror, Thriller",2012,Movie not found on DBpedia by query title.
8010,97665,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté),"Adventure, Comedy",2012,Movie not found on DBpedia by query title.
8011,97701,Paranormal Activity 4,"Horror, IMAX",2012,Movie not found on DBpedia by query title.
8012,97742,Alex Cross,"Action, Crime, Mystery, Thriller",2012,Movie not found on DBpedia by query title.
8013,97752,Cloud Atlas,"Drama, Sci-Fi, IMAX",2012,Movie not found on DBpedia by query title.
8014,97757,'Hellboy': The Seeds of Creation,"Action, Adventure, Comedy, Documentary, Fantasy",2004,Movie not found on DBpedia by query title.
8015,97785,Silent Hill: Revelation 3D,"Horror, Mystery, Thriller",2012,Movie not found on DBpedia by query title.
8016,97836,Here Comes the Boom,"Action, Comedy",2012,Movie not found on DBpedia by query title.
8017,97858,Mental,"Comedy, Drama",2012,"Mental is a 2012 Australian comedy film directed by PJ Hogan and starring Toni Collette, Rebecca Gibney, Anthony LaPaglia and Liev Schreiber. It premiered on closing night at the 2012 Melbourne International Film Festival, and was released in cinemas on 4 October 2012."
8018,97860,Killing Them Softly,"Crime, Drama, Thriller",2012,Movie not found on DBpedia by query title.
8019,97866,"Imposter, The",Documentary,2012,Movie not found on DBpedia by query title.
8020,97870,"Sessions, The (Surrogate, The)",Drama,2012,Movie not found on DBpedia by query title.
