,movieId,title,genres,year,abstract
2000,2661,It Came from Outer Space,Sci-Fi,1953,Movie not found on DBpedia by query title.
2001,2662,"War of the Worlds, The","Action, Drama, Sci-Fi",1953,Movie not found on DBpedia by query title.
2002,2664,Invasion of the Body Snatchers,"Horror, Sci-Fi, Thriller",1956,Movie not found on DBpedia by query title.
2003,2665,Earth vs. the Flying Saucers,Sci-Fi,1956,Movie not found on DBpedia by query title.
2004,2668,Swamp Thing,"Horror, Sci-Fi",1982,Movie not found on DBpedia by query title.
2005,2669,Pork Chop Hill,War,1959,Movie not found on DBpedia by query title.
2006,2670,Run Silent Run Deep,War,1958,Movie not found on DBpedia by query title.
2007,2671,Notting Hill,"Comedy, Romance",1999,Movie not found on DBpedia by query title.
2008,2672,"Thirteenth Floor, The","Drama, Sci-Fi, Thriller",1999,Movie not found on DBpedia by query title.
2009,2674,"Loss of Sexual Innocence, The","Drama, Fantasy",1999,Movie not found on DBpedia by query title.
2010,2676,Instinct,"Drama, Thriller",1999,"Instinct is a 1999 American psychological thriller film starring Anthony Hopkins, Cuba Gooding, Jr., George Dzundza, Donald Sutherland, and Maura Tierney. It was very loosely inspired by Ishmael, a novel by Daniel Quinn. In the United States, the film had the working title Ishmael. In 2000, the film was nominated for and won a Genesis Award in the category of feature film. This was the first film produced by Spyglass Entertainment after Caravan Pictures shut down."
2011,2677,Buena Vista Social Club,"Documentary, Musical",1999,Movie not found on DBpedia by query title.
2012,2681,Free Enterprise,"Comedy, Romance, Sci-Fi",1998,Movie not found on DBpedia by query title.
2013,2682,Limbo,Drama,1999,"Limbo is a 1972 film drama directed by Mark Robson. It stars Kate Jackson, Kathleen Nolan and Katherine Justice."
2014,2683,Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy",1999,Movie not found on DBpedia by query title.
2015,2686,"Red Violin, The (Violon rouge, Le)","Drama, Mystery",1998,Movie not found on DBpedia by query title.
